vector_id,book_number,chapter_number,book_title,chapter_title,chunk_index,chunk_page,pub_year,cluster_id,cluster_label
0,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,0,1,1975,18,"Marx, Heidegger, and Historical Ontology"
1,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,1,1,1975,18,"Marx, Heidegger, and Historical Ontology"
2,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,2,1,1975,18,"Marx, Heidegger, and Historical Ontology"
3,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,3,1,1975,18,"Marx, Heidegger, and Historical Ontology"
4,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,4,2,1975,18,"Marx, Heidegger, and Historical Ontology"
5,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,5,2,1975,0,Heidegger's Philosophy of Understanding and Being
6,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,6,2,1975,18,"Marx, Heidegger, and Historical Ontology"
7,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,7,2,1975,18,"Marx, Heidegger, and Historical Ontology"
8,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,8,3,1975,18,"Marx, Heidegger, and Historical Ontology"
9,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,9,3,1975,18,"Marx, Heidegger, and Historical Ontology"
10,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,10,3,1975,0,Heidegger's Philosophy of Understanding and Being
11,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,11,4,1975,18,"Marx, Heidegger, and Historical Ontology"
12,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,12,4,1975,18,"Marx, Heidegger, and Historical Ontology"
13,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,13,4,1975,18,"Marx, Heidegger, and Historical Ontology"
14,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,14,4,1975,18,"Marx, Heidegger, and Historical Ontology"
15,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,15,5,1975,18,"Marx, Heidegger, and Historical Ontology"
16,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,16,5,1975,18,"Marx, Heidegger, and Historical Ontology"
17,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,17,5,1975,18,"Marx, Heidegger, and Historical Ontology"
18,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,18,5,1975,18,"Marx, Heidegger, and Historical Ontology"
19,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,19,6,1975,18,"Marx, Heidegger, and Historical Ontology"
20,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,20,6,1975,18,"Marx, Heidegger, and Historical Ontology"
21,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,21,6,1975,18,"Marx, Heidegger, and Historical Ontology"
22,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,22,7,1975,18,"Marx, Heidegger, and Historical Ontology"
23,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,23,7,1975,18,"Marx, Heidegger, and Historical Ontology"
24,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,24,7,1975,18,"Marx, Heidegger, and Historical Ontology"
25,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,25,7,1975,18,"Marx, Heidegger, and Historical Ontology"
26,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,26,8,1975,18,"Marx, Heidegger, and Historical Ontology"
27,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,27,8,1975,18,"Marx, Heidegger, and Historical Ontology"
28,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,28,8,1975,18,"Marx, Heidegger, and Historical Ontology"
29,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,29,8,1975,18,"Marx, Heidegger, and Historical Ontology"
30,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,30,9,1975,18,"Marx, Heidegger, and Historical Ontology"
31,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,31,9,1975,18,"Marx, Heidegger, and Historical Ontology"
32,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,32,9,1975,18,"Marx, Heidegger, and Historical Ontology"
33,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,33,10,1975,18,"Marx, Heidegger, and Historical Ontology"
34,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,34,10,1975,18,"Marx, Heidegger, and Historical Ontology"
35,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,35,10,1975,18,"Marx, Heidegger, and Historical Ontology"
36,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,36,10,1975,18,"Marx, Heidegger, and Historical Ontology"
37,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,37,11,1975,18,"Marx, Heidegger, and Historical Ontology"
38,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,38,11,1975,18,"Marx, Heidegger, and Historical Ontology"
39,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,39,11,1975,18,"Marx, Heidegger, and Historical Ontology"
40,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,40,11,1975,0,Heidegger's Philosophy of Understanding and Being
41,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,41,12,1975,18,"Marx, Heidegger, and Historical Ontology"
42,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,42,12,1975,0,Heidegger's Philosophy of Understanding and Being
43,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,43,12,1975,18,"Marx, Heidegger, and Historical Ontology"
44,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,44,13,1975,0,Heidegger's Philosophy of Understanding and Being
45,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,45,13,1975,18,"Marx, Heidegger, and Historical Ontology"
46,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,46,13,1975,18,"Marx, Heidegger, and Historical Ontology"
47,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,47,13,1975,18,"Marx, Heidegger, and Historical Ontology"
48,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,48,14,1975,18,"Marx, Heidegger, and Historical Ontology"
49,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,49,14,1975,18,"Marx, Heidegger, and Historical Ontology"
50,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,50,14,1975,18,"Marx, Heidegger, and Historical Ontology"
51,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,51,14,1975,18,"Marx, Heidegger, and Historical Ontology"
52,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,52,15,1975,18,"Marx, Heidegger, and Historical Ontology"
53,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,53,15,1975,18,"Marx, Heidegger, and Historical Ontology"
54,1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,54,15,1975,18,"Marx, Heidegger, and Historical Ontology"
76,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,0,1,2010,18,"Marx, Heidegger, and Historical Ontology"
77,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,1,1,2010,18,"Marx, Heidegger, and Historical Ontology"
78,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,2,1,2010,18,"Marx, Heidegger, and Historical Ontology"
79,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,3,1,2010,18,"Marx, Heidegger, and Historical Ontology"
80,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,4,2,2010,0,Heidegger's Philosophy of Understanding and Being
81,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,5,2,2010,18,"Marx, Heidegger, and Historical Ontology"
82,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,6,2,2010,18,"Marx, Heidegger, and Historical Ontology"
83,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,7,3,2010,18,"Marx, Heidegger, and Historical Ontology"
84,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,8,3,2010,0,Heidegger's Philosophy of Understanding and Being
85,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,9,3,2010,18,"Marx, Heidegger, and Historical Ontology"
86,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,10,4,2010,18,"Marx, Heidegger, and Historical Ontology"
87,1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,11,4,2010,18,"Marx, Heidegger, and Historical Ontology"
