vector_id,book_number,chapter_number,book_title,chapter_title,cluster_id,cluster_label,pub_year,cited_year,snippet
976,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,8,Electronic Music and Sound Technology,2022,1975,"o-historical philosophy, which Heidegger failed to  appreciate (Habermas, 1992; Stahl, 1975):   (a) Heidegger’s view of authentic man is ideological and individ"
976,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,8,Electronic Music and Sound Technology,2022,1975,"io-historical philosophy, which Heidegger failed to  appreciate (Habermas, 1992; Stahl, 1975):   (a) Heidegger’s view of authentic man is ideological and indivi"
977,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,18,"Marx, Heidegger, and Historical Ontology",2022,1975,"appreciate (Habermas, 1992; Stahl, 1975):   (a) Heidegger’s view of authentic man is ideological and individ"
977,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,18,"Marx, Heidegger, and Historical Ontology",2022,1975,"appreciate (Habermas, 1992; Stahl, 1975):   (a) Heidegger’s view of authentic man is ideological and indivi"
980,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,0,Heidegger's Philosophy of Understanding and Being,2022,1975,"this understanding may subsequently be made explicit  and further articulated (Stahl, 1975; 1993).   Heidegger illustrates the pre-understanding of the world i"
980,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,0,Heidegger's Philosophy of Understanding and Being,2022,1975,"w this understanding may subsequently be made explicit  and further articulated (Stahl, 1975; 1993).   Heidegger illustrates the pre-understanding of the world"
989,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,0,Heidegger's Philosophy of Understanding and Being,2022,2006,"the musical event, an  instance of being-there-with-others or group cognition (Stahl, 2006). So, the Dasein  of Being and Time can involve the disclosure of a"
989,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,0,Heidegger's Philosophy of Understanding and Being,2022,2006,"t the musical event, an  instance of being-there-with-others or group cognition (Stahl, 2006). So, the Dasein  of Being and Time can involve the disclosure of a"
999,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,8,Electronic Music and Sound Technology,2022,1976,"erstood: It makes  no sense to the listener; it is not disclosed as meaningful (Stahl, 1976). The pioneers  of e-music had to explain to the listening public wh"
999,1,12,Marx and Heidegger,EPILOGUE: THE WORKING OF SONIC BEING IN E-MUSIC,8,Electronic Music and Sound Technology,2022,1976,"derstood: It makes  no sense to the listener; it is not disclosed as meaningful (Stahl, 1976). The pioneers  of e-music had to explain to the listening public w"
