book_number,chapter_number,book_title,chapter_title,pub_year,cluster_id,cluster_label,chunk_count,narrative_words,sent_count,sent_mean_words,sent_std_words,sent_pct_long,sent_pct_short,pct_questions,flesch_ease,fk_grade,fog_index,ttr,mean_word_len,abstract_ratio,hapax_ratio,hedge_per_1k,assert_per_1k,hedge_assert_ratio,causal_per_1k,contrast_per_1k,additive_per_1k,exemplify_per_1k,i_per_1k,we_per_1k,passive_per_1k,semicolon_per_1k,emdash_per_1k,colon_per_1k,citation_per_1k,self_cite_per_1k,metalinguistic_per_1k,definitional_per_1k,subordinate_per_1k
7,1,Essays in Social Philosophy,Truth as Value: Nietzsche’s Escape from Nihilism,1967,0,Heidegger's Philosophy of Understanding and Being,114,17514,597,29.34,19.55,34.0,9.38,2.85,39.97,14.73,18.5,0.1391,4.978,0.0494,0.0585,5.481,5.824,0.4848,1.713,2.055,1.599,0.514,2.684,9.821,1.77,3.312,3.426,3.14,0.457,0.0,0.0,2.17,4.454
7,20,Essays in Social Philosophy,Time and Being: A translation of Martin Heidegger’s “Zeit und Sein”,1970,0,Heidegger's Philosophy of Understanding and Being,65,10271,530,19.38,14.37,14.72,25.85,7.74,55.64,10.21,13.6,0.1277,4.801,0.0277,0.0572,3.116,7.497,0.2936,2.239,4.771,1.85,0.292,0.389,20.446,1.168,1.168,3.7,3.894,0.195,0.0,0.0,5.842,4.089
7,4,Essays in Social Philosophy,Sound and Society: An Essay on Electronic Music,1974,8,Electronic Music and Sound Technology,50,7055,311,22.68,13.43,18.33,10.61,1.29,27.79,14.88,18.95,0.2771,5.51,0.0433,0.1473,5.67,3.969,0.5882,0.709,2.693,1.276,0.709,0.709,4.819,2.551,1.134,0.0,1.843,0.142,0.0,0.0,1.843,2.551
7,5,Essays in Social Philosophy,Utopian Optics: Theodor W. Adorno’s Prisms: Cultural Criticism and Society,1974,18,"Marx, Heidegger, and Historical Ontology",53,7481,286,26.16,16.12,34.27,15.03,0.35,23.1,16.41,20.84,0.252,5.485,0.0517,0.1351,2.272,4.679,0.3269,1.203,4.812,1.203,0.535,0.0,0.267,0.401,2.139,6.55,3.876,0.267,0.0,0.0,0.535,2.941
1,1,Marx and Heidegger,Chapter I. The Alternative of Marx and Heidegger,1975,18,"Marx, Heidegger, and Historical Ontology",55,7683,295,26.04,16.84,26.1,10.85,2.37,21.34,16.58,21.13,0.2146,5.58,0.0488,0.1013,4.425,4.295,0.5075,2.083,4.556,1.171,0.26,1.822,1.692,0.13,1.952,0.0,3.384,1.302,0.0,0.0,1.432,2.603
7,2,Essays in Social Philosophy,The Jargon of Authenticity: An Introduction to a Marxist Critique of Heidegger,1975,18,"Marx, Heidegger, and Historical Ontology",32,4353,167,26.08,17.2,31.14,16.77,0.0,16.92,17.13,21.73,0.2911,5.747,0.0523,0.1569,5.284,3.446,0.6053,1.838,4.365,1.608,0.689,5.513,0.459,0.459,2.297,0.0,5.513,4.824,0.0,0.0,0.919,2.757
7,7,Essays in Social Philosophy,The Theory and Practice of Democratic Socialism,1976,18,"Marx, Heidegger, and Historical Ontology",29,4426,212,20.88,9.73,16.04,8.02,0.0,39.0,12.81,16.69,0.2278,5.12,0.0434,0.1112,4.519,2.937,0.6061,1.808,2.937,1.582,0.226,21.012,8.812,0.904,1.13,2.485,3.615,0.0,0.0,0.0,2.937,3.163
7,6,Essays in Social Philosophy,A Modern Voice for Marx,1978,18,"Marx, Heidegger, and Historical Ontology",7,900,54,16.67,10.47,9.26,27.78,27.78,27.42,13.38,17.64,0.472,5.678,0.0594,0.2995,0.0,5.556,0.0,3.333,2.222,1.111,0.0,1.111,8.889,0.0,1.111,4.444,1.111,1.111,0.0,0.0,0.0,2.222
7,3,Essays in Social Philosophy,Attuned to Being: Heideggerian Music in Technological Society,1979,8,Electronic Music and Sound Technology,101,14321,673,21.28,11.73,14.71,11.14,0.74,26.34,14.73,19.19,0.2079,5.564,0.0457,0.1002,3.771,8.17,0.3158,0.908,4.05,2.025,0.768,2.304,5.935,0.978,2.304,0.0,2.863,0.978,0.0,0.0,2.095,2.793
7,9,Essays in Social Philosophy,Education for Democracy at Mondragon,1984,17,Foundations and Evolution of CSCL,25,3863,262,14.75,8.48,3.05,27.1,6.49,54.9,9.15,12.48,0.2342,4.914,0.0353,0.1083,1.035,2.589,0.2857,0.518,2.071,2.848,1.294,7.248,32.099,1.035,3.106,3.624,5.436,0.259,0.0,0.0,2.071,2.848
