year,CHAPTERS — cluster 0: Heidegger/Philosophy,,CHAPTERS — cluster 1: Group Processes/KB,,CHAPTERS — cluster 2: Group Cognition/DG,,CHAPTERS — cluster 3: Threading/Chat,,CHAPTERS — cluster 4: VMT Project,,CHAPTERS — cluster 5: Perspectives/KCS,,CHAPTERS — cluster 7: Group Discourse/Math,,CHAPTERS — cluster 8: Electronic Music,,CHAPTERS — cluster 9: Salt Marsh,,CHAPTERS — cluster 10: Tacit Knowledge/Design,,CHAPTERS — cluster 11: Group Cognition/CSCL,,CHAPTERS — cluster 13: DG Construction,,CHAPTERS — cluster 14: HERMES Language,,CHAPTERS — cluster 15: Sculpture,,CHAPTERS — cluster 16: Collab Problem-Solving,,CHAPTERS — cluster 17: CSCL Foundations,,CHAPTERS — cluster 18: Marx/Heidegger,,CHAPTERS — cluster 19: Math Meaning-Making,,,,CHUNKS — cluster 0: Heidegger/Philosophy,,CHUNKS — cluster 1: Group Processes/KB,,CHUNKS — cluster 2: Group Cognition/DG,,CHUNKS — cluster 3: Threading/Chat,,CHUNKS — cluster 4: VMT Project,,CHUNKS — cluster 5: Perspectives/KCS,,CHUNKS — cluster 7: Group Discourse/Math,,CHUNKS — cluster 8: Electronic Music,,CHUNKS — cluster 9: Salt Marsh,,CHUNKS — cluster 10: Tacit Knowledge/Design,,CHUNKS — cluster 11: Group Cognition/CSCL,,CHUNKS — cluster 13: DG Construction,,CHUNKS — cluster 14: HERMES Language,,CHUNKS — cluster 15: Sculpture,,CHUNKS — cluster 16: Collab Problem-Solving,,CHUNKS — cluster 17: CSCL Foundations,,CHUNKS — cluster 18: Marx/Heidegger,,CHUNKS — cluster 19: Math Meaning-Making,,,
year,ch_0_count,ch_0_pct,ch_1_count,ch_1_pct,ch_2_count,ch_2_pct,ch_3_count,ch_3_pct,ch_4_count,ch_4_pct,ch_5_count,ch_5_pct,ch_7_count,ch_7_pct,ch_8_count,ch_8_pct,ch_9_count,ch_9_pct,ch_10_count,ch_10_pct,ch_11_count,ch_11_pct,ch_13_count,ch_13_pct,ch_14_count,ch_14_pct,ch_15_count,ch_15_pct,ch_16_count,ch_16_pct,ch_17_count,ch_17_pct,ch_18_count,ch_18_pct,ch_19_count,ch_19_pct,total_chapters,,ck_0_count,ck_0_pct,ck_1_count,ck_1_pct,ck_2_count,ck_2_pct,ck_3_count,ck_3_pct,ck_4_count,ck_4_pct,ck_5_count,ck_5_pct,ck_7_count,ck_7_pct,ck_8_count,ck_8_pct,ck_9_count,ck_9_pct,ck_10_count,ck_10_pct,ck_11_count,ck_11_pct,ck_13_count,ck_13_pct,ck_14_count,ck_14_pct,ck_15_count,ck_15_pct,ck_16_count,ck_16_pct,ck_17_count,ck_17_pct,ck_18_count,ck_18_pct,ck_19_count,ck_19_pct,total_chunks,
1970,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,,65,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,65,
1974,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,2,,9,8.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,63,61.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31,30.1,0,0.0,103,
1975,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,2,,12,13.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,86.2,0,0.0,87,
1976,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,100.0,0,0.0,29,
1978,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,100.0,0,0.0,7,
1979,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,,13,12.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,83,82.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,5.0,0,0.0,101,
1984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,1,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,16.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,80.0,1,4.0,0,0.0,25,
1992,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,,17,7.5,0,0.0,0,0.0,0,0.0,0,0.0,10,4.4,0,0.0,0,0.0,0,0.0,99,43.8,3,1.3,0,0.0,94,41.6,0,0.0,0,0.0,2,0.9,0,0.0,1,0.4,226,
1993,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,,7,4.1,0,0.0,0,0.0,0,0.0,0,0.0,2,1.2,0,0.0,0,0.0,0,0.0,155,91.7,0,0.0,0,0.0,5,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,169,
